Row,Name,Neighborhood,Year,Value
2350,Nitrogen Dioxide,408.0,2009,18.5
2351,Ozone,209.0,2010,28.0
2355,Ozone,206.0,2010,27.1
2357,Ozone,105.0,2010,26.7
2359,Nitrogen Dioxide,105.0,2009,25.0
2360,Ozone,310.0,2010,22.7
2364,Ozone,106.0,2009,22.6
2365,Ozone,402.0,2010,27.3
2372,Ozone,502.0,2009,26.5
2373,Ozone,402.0,2009,25.7
2374,Ozone,404.0,2010,28.5
2377,Ozone,204.0,2010,28.0
2382,Ozone,404.0,2009,26.3
2390,Ozone,401.0,2009,26.1
2391,Nitrogen Dioxide,101.0,2009,19.5
2392,Nitrogen Dioxide,501.0,2009,18.2
2393,Nitrogen Dioxide,401.0,2009,21.9
2398,Fine Particles,503.0,2009,10.7
2399,Ozone,306.0,2010,21.3
2400,Nitrogen Dioxide,302.0,2009,28.1
2402,Fine Particles,302.0,2009,11.4
2409,Ozone,503.0,2010,30.3
2412,Fine Particles,401.0,2009,11.6
2413,Fine Particles,101.0,2009,10.4
2414,Ozone,406.0,2010,28.0
2415,Ozone,302.0,2010,25.4
2417,Fine Particles,208.0,2009,10.4
2422,Ozone,504.0,2010,30.3
2429,Fine Particles,502.0,2009,10.4
2430,Fine Particles,402.0,2009,11.1
2431,Ozone,502.0,2010,29.4
2452,Ozone,207.0,2009,25.5
2470,Nitrogen Dioxide,402.0,2009,21.7
2471,Nitrogen Dioxide,504.0,2009,10.8
2474,Nitrogen Dioxide,209.0,2009,19.0
2476,Nitrogen Dioxide,503.0,2009,14.0
2477,Nitrogen Dioxide,405.0,2009,19.9
3390,Nitrogen Dioxide,408.0,2010,17.9
3391,Nitrogen Dioxide,207.0,2010,19.0
3392,Fine Particles,403.0,2010,11.6
3393,Fine Particles,102.0,2010,11.8
3396,Nitrogen Dioxide,409.0,2010,16.2
3397,Nitrogen Dioxide,410.0,2010,10.1
3398,Nitrogen Dioxide,302.0,2010,25.5
3399,Nitrogen Dioxide,102.0,2010,17.9
3403,Nitrogen Dioxide,105.0,2010,22.5
3406,Fine Particles,207.0,2010,11.8
3410,Fine Particles,202.0,2010,12.7
3411,Nitrogen Dioxide,202.0,2010,22.6
3420,Ozone,202.0,2010,30.9
3421,Ozone,102.0,2010,34.0
3429,Nitrogen Dioxide,206.0,2010,18.8
3430,Fine Particles,409.0,2010,11.0
3431,Ozone,410.0,2010,39.0
3432,Ozone,210.0,2010,36.5
3435,Fine Particles,304.0,2010,13.0
3436,Fine Particles,204.0,2010,11.3
3437,Fine Particles,302.0,2010,12.5
3444,Fine Particles,305.0,2010,13.7
3445,Fine Particles,303.0,2010,12.3
3446,Fine Particles,203.0,2010,12.0
3447,Fine Particles,105.0,2010,12.6
3448,Nitrogen Dioxide,205.0,2010,19.5
3449,Ozone,103.0,2010,32.5
3455,Fine Particles,306.0,2010,14.8
3456,Fine Particles,201.0,2010,13.3
3469,Nitrogen Dioxide,209.0,2010,16.9
3473,Fine Particles,310.0,2010,13.8
3493,Nitrogen Dioxide,106.0,2010,23.7
3495,Nitrogen Dioxide,103.0,2010,19.7
3496,Nitrogen Dioxide,101.0,2010,18.1
3499,Nitrogen Dioxide,306.0,2010,34.8
3506,Nitrogen Dioxide,308.0,2010,29.6
3508,Fine Particles,308.0,2010,13.7
3532,Fine Particles,106.0,2010,12.7
3534,Fine Particles,104.0,2010,11.9
3536,Ozone,309.0,2010,28.4
3537,Ozone,206.0,2010,33.4
3538,Nitrogen Dioxide,301.0,2010,22.9
3539,Ozone,301.0,2010,30.5
3540,Ozone,501.0,2010,32.7
3541,Nitrogen Dioxide,303.0,2010,24.4
3543,Ozone,211.0,2010,32.4
3544,Fine Particles,210.0,2010,11.4
3545,Fine Particles,205.0,2010,12.5
3547,Fine Particles,404.0,2010,11.3
3548,Ozone,302.0,2010,29.8
3549,Ozone,209.0,2010,34.5
3550,Ozone,303.0,2010,30.5
3551,Ozone,305.0,2010,28.2
3553,Ozone,405.0,2010,33.3
3554,Ozone,304.0,2010,28.7
3559,Nitrogen Dioxide,307.0,2010,38.0
3560,Ozone,107.0,2010,33.3
3562,Fine Particles,307.0,2010,15.4
3563,Fine Particles,408.0,2010,11.4
3566,Ozone,208.0,2010,36.1
3567,Ozone,308.0,2010,27.9
3592,Nitrogen Dioxide,305.0,2010,29.0
3594,Nitrogen Dioxide,309.0,2010,27.4
3596,Fine Particles,503.0,2010,11.7
3597,Fine Particles,103.0,2010,12.0
3605,Fine Particles,401.0,2010,12.8
3607,Nitrogen Dioxide,401.0,2010,20.9
3609,Nitrogen Dioxide,304.0,2010,26.7
3618,Nitrogen Dioxide,203.0,2010,20.9
3619,Nitrogen Dioxide,310.0,2010,31.3
3620,Nitrogen Dioxide,404.0,2010,16.0
3621,Nitrogen Dioxide,104.0,2010,17.9
3622,Nitrogen Dioxide,210.0,2010,14.0
3624,Fine Particles,309.0,2010,13.1
3625,Fine Particles,206.0,2010,11.7
3626,Nitrogen Dioxide,211.0,2010,21.3
3627,Fine Particles,211.0,2010,13.9
3630,Fine Particles,405.0,2010,11.7
3631,Ozone,310.0,2010,26.9
3632,Nitrogen Dioxide,201.0,2010,21.4
3633,Fine Particles,301.0,2010,12.1
3634,Fine Particles,101.0,2010,11.8
3642,Ozone,101.0,2010,31.9
3646,Ozone,201.0,2010,32.5
3647,Ozone,401.0,2010,33.0
3653,Ozone,105.0,2010,31.6
3655,Ozone,205.0,2010,32.7
3656,Ozone,203.0,2010,32.3
3667,Ozone,306.0,2010,25.6
3668,Ozone,406.0,2010,33.2
3673,Fine Particles,502.0,2010,11.4
3674,Ozone,404.0,2010,33.5
3676,Ozone,204.0,2010,34.0
3677,Ozone,104.0,2010,34.3
3678,Ozone,504.0,2010,36.5
3679,Ozone,502.0,2010,34.3
3680,Ozone,402.0,2010,33.2
3681,Nitrogen Dioxide,502.0,2010,13.7
3689,Nitrogen Dioxide,107.0,2010,20.8
3690,Nitrogen Dioxide,208.0,2010,14.3
3702,Ozone,409.0,2010,34.3
3703,Ozone,106.0,2010,31.3
3704,Nitrogen Dioxide,204.0,2010,18.1
3705,Fine Particles,209.0,2010,11.6
3708,Fine Particles,410.0,2010,10.7
3710,Ozone,503.0,2010,34.5
3711,Ozone,403.0,2010,34.0
3712,Nitrogen Dioxide,503.0,2010,13.1
3713,Nitrogen Dioxide,405.0,2010,18.5
3714,Nitrogen Dioxide,403.0,2010,17.8
3715,Nitrogen Dioxide,501.0,2010,17.1
3723,Fine Particles,504.0,2010,11.3
3725,Nitrogen Dioxide,504.0,2010,9.5
3726,Fine Particles,406.0,2010,11.4
3727,Nitrogen Dioxide,406.0,2010,18.0
3732,Nitrogen Dioxide,402.0,2010,20.3
3734,Fine Particles,501.0,2010,11.7
3740,Nitrogen Dioxide,407.0,2010,17.7
3742,Fine Particles,407.0,2010,11.3
3743,Fine Particles,208.0,2010,11.4
3744,Fine Particles,107.0,2010,11.1
3751,Fine Particles,402.0,2010,12.3
3764,Ozone,307.0,2010,23.9
3767,Ozone,407.0,2010,34.0
3768,Ozone,207.0,2010,33.3
3786,Ozone,408.0,2010,33.5
4591,Fine Particles,409.0,2011,10.8
4592,Fine Particles,104.0,2011,11.5
4593,Nitrogen Dioxide,201.0,2011,21.3
4594,Nitrogen Dioxide,304.0,2011,25.8
4597,Nitrogen Dioxide,409.0,2011,15.3
4598,Nitrogen Dioxide,410.0,2011,9.9
4599,Nitrogen Dioxide,202.0,2011,22.2
4600,Nitrogen Dioxide,302.0,2011,23.9
4601,Nitrogen Dioxide,306.0,2011,34.6
4604,Nitrogen Dioxide,305.0,2011,28.6
4605,Nitrogen Dioxide,403.0,2011,17.4
4606,Nitrogen Dioxide,303.0,2011,23.3
4609,Ozone,207.0,2011,32.7
4610,Ozone,107.0,2011,33.4
4611,Fine Particles,207.0,2011,11.4
4613,Fine Particles,402.0,2011,11.9
4615,Fine Particles,306.0,2011,14.2
4628,Nitrogen Dioxide,204.0,2011,18.1
4630,Nitrogen Dioxide,206.0,2011,18.6
4631,Fine Particles,410.0,2011,10.6
4632,Nitrogen Dioxide,310.0,2011,31.1
4634,Ozone,410.0,2011,39.0
4635,Ozone,210.0,2011,36.6
4637,Fine Particles,206.0,2011,11.3
4640,Fine Particles,210.0,2011,11.1
4642,Fine Particles,304.0,2011,12.5
4643,Fine Particles,204.0,2011,10.9
4644,Fine Particles,302.0,2011,11.9
4650,Fine Particles,211.0,2011,13.5
4651,Ozone,103.0,2011,32.1
4655,Ozone,101.0,2011,31.2
4672,Nitrogen Dioxide,205.0,2011,19.2
4676,Fine Particles,303.0,2011,11.8
4687,Nitrogen Dioxide,501.0,2011,16.9
4692,Nitrogen Dioxide,106.0,2011,22.0
4695,Nitrogen Dioxide,101.0,2011,16.3
4728,Fine Particles,209.0,2011,11.2
4729,Fine Particles,202.0,2011,12.3
4732,Fine Particles,401.0,2011,12.3
4733,Ozone,409.0,2011,33.6
4734,Ozone,106.0,2011,31.1
4735,Ozone,309.0,2011,26.9
4736,Ozone,206.0,2011,32.7
4737,Ozone,301.0,2011,30.1
4738,Ozone,501.0,2011,31.0
4739,Fine Particles,105.0,2011,12.1
4740,Fine Particles,305.0,2011,13.1
4741,Nitrogen Dioxide,105.0,2011,21.0
4742,Ozone,105.0,2011,31.5
4743,Ozone,205.0,2011,31.5
4745,Ozone,404.0,2011,33.0
4746,Ozone,211.0,2011,31.5
4747,Fine Particles,309.0,2011,12.6
4748,Fine Particles,106.0,2011,12.1
4750,Ozone,306.0,2011,24.2
4751,Fine Particles,103.0,2011,11.5
4752,Fine Particles,405.0,2011,11.4
4753,Fine Particles,205.0,2011,12.0
4754,Fine Particles,201.0,2011,12.8
4756,Fine Particles,404.0,2011,11.0
4757,Ozone,204.0,2011,33.5
4761,Ozone,203.0,2011,31.4
4762,Ozone,304.0,2011,27.9
4770,Fine Particles,107.0,2011,10.7
4771,Fine Particles,208.0,2011,11.1
4772,Ozone,308.0,2011,26.2
4774,Fine Particles,307.0,2011,14.8
4775,Fine Particles,408.0,2011,11.2
4779,Ozone,208.0,2011,35.9
4803,Fine Particles,310.0,2011,13.2
4806,Nitrogen Dioxide,203.0,2011,20.7
4818,Nitrogen Dioxide,404.0,2011,15.4
4825,Nitrogen Dioxide,503.0,2011,12.8
4826,Nitrogen Dioxide,103.0,2011,18.4
4827,Nitrogen Dioxide,309.0,2011,27.2
4828,Nitrogen Dioxide,402.0,2011,20.3
4829,Nitrogen Dioxide,104.0,2011,17.2
4830,Nitrogen Dioxide,209.0,2011,17.0
4831,Nitrogen Dioxide,210.0,2011,14.2
4833,Nitrogen Dioxide,211.0,2011,21.2
4834,Nitrogen Dioxide,301.0,2011,20.9
4835,Fine Particles,403.0,2011,11.2
4838,Nitrogen Dioxide,102.0,2011,17.2
4839,Nitrogen Dioxide,406.0,2011,17.6
4840,Ozone,209.0,2011,33.9
4842,Fine Particles,301.0,2011,11.6
4843,Fine Particles,101.0,2011,11.3
4844,Fine Particles,102.0,2011,11.4
4845,Fine Particles,406.0,2011,11.1
4849,Ozone,310.0,2011,25.1
